target_symbol	disease_group	disease_term	connection_evidence
CXCL8	colon	colitis, ulcerative	marker/mechanism
STAT3	colon	colitis, ulcerative	marker/mechanism
IL10	colon	colitis, ulcerative	marker/mechanism
PSMG1	colon	colitis, ulcerative	marker/mechanism
JAK2	colon	colitis, ulcerative	marker/mechanism
MASP2	colon	colitis, ulcerative	marker/mechanism
ICOSLG	colon	colitis, ulcerative	marker/mechanism
IL18RAP	colon	colitis, ulcerative	marker/mechanism
MST1	colon	colitis, ulcerative	marker/mechanism
CASP3	colon	colitis, ulcerative	marker/mechanism
IKZF1	colon	colitis, ulcerative	marker/mechanism
IRGM	colon	colitis, ulcerative	marker/mechanism
DAP	colon	colitis, ulcerative	marker/mechanism
MPO	colon	colitis, ulcerative	marker/mechanism
KIF21B	colon	colitis, ulcerative	marker/mechanism
ICAM1	colon	colitis, ulcerative	marker/mechanism
FCGR2A	colon	colitis, ulcerative	marker/mechanism
CDH3	colon	colitis, ulcerative	marker/mechanism
NKX2-3	colon	colitis, ulcerative	marker/mechanism
PTPN2	colon	colitis, ulcerative	marker/mechanism
HLA-DRB1	colon	colitis, ulcerative	marker/mechanism
PRDM1	colon	colitis, ulcerative	marker/mechanism
TNFSF15	colon	colitis, ulcerative	marker/mechanism
RELA	colon	colitis, ulcerative	marker/mechanism
LTF	colon	colitis, ulcerative	therapeutic
HERC2	colon	colitis, ulcerative	marker/mechanism
LSP1	colon	colitis, ulcerative	marker/mechanism
TNF	colon	colitis, ulcerative	marker/mechanism
ORMDL3	colon	colitis, ulcerative	marker/mechanism
TP53BP1	colon	colonic neoplasms	marker/mechanism
PTP4A3	colon	colonic neoplasms	therapeutic
TNFSF10	colon	colonic neoplasms	therapeutic
RNF34	colon	colonic neoplasms	therapeutic
MTOR	colon	colonic neoplasms	marker/mechanism
CKM	colon	colonic neoplasms	marker/mechanism
CXCL10	colon	colonic neoplasms	marker/mechanism
BAK1	colon	colonic neoplasms	marker/mechanism
HSPB1	colon	colonic neoplasms	marker/mechanism
CDX2	colon	colonic neoplasms	marker/mechanism
NOX4	colon	colonic neoplasms	marker/mechanism
UMPS	colon	colonic neoplasms	marker/mechanism
LTF	colon	colonic neoplasms	therapeutic
PCP4	colon	colonic neoplasms	marker/mechanism
FOLR1	colon	colonic neoplasms	marker/mechanism
SLC5A8	colon	colonic neoplasms	marker/mechanism
DMBT1	colon	colonic neoplasms	marker/mechanism
TGFBR2	colon	colonic neoplasms	marker/mechanism
CP	colon	colonic neoplasms	marker/mechanism
MAOB	colon	colonic neoplasms	marker/mechanism
HMGCS2	colon	colonic neoplasms	marker/mechanism
KCNH2	colon	colonic neoplasms	marker/mechanism
TYMS	colon	colonic neoplasms	marker/mechanism
MIR223	colon	colonic neoplasms	marker/mechanism
NOS2	colon	colonic neoplasms	marker/mechanism
DEFA24	colon	colonic neoplasms	marker/mechanism
CCNH	colon	colonic neoplasms	marker/mechanism
CYP26A1	colon	colonic neoplasms	marker/mechanism
KDM5B	colon	colonic neoplasms	marker/mechanism
LRG1	colon	colonic neoplasms	marker/mechanism
BAP1	colon	colonic neoplasms	marker/mechanism
LEF1	colon	colonic neoplasms	marker/mechanism
BRD4	colon	colonic neoplasms	marker/mechanism
DEFAL1	colon	colonic neoplasms	marker/mechanism
XAF1	colon	colonic neoplasms	marker/mechanism
EIF3I	colon	colonic neoplasms	marker/mechanism
FZD2	colon	colonic neoplasms	marker/mechanism
RCOR1	colon	colonic neoplasms	marker/mechanism
IL1B	colon	colonic neoplasms	marker/mechanism
BECN1	colon	colonic neoplasms	marker/mechanism
NOTCH1	colon	colonic neoplasms	marker/mechanism
ALDH1B1	colon	colonic neoplasms	marker/mechanism
RECK	colon	colonic neoplasms	marker/mechanism
SRC	colon	colonic neoplasms	marker/mechanism
RELA	colon	colonic neoplasms	marker/mechanism
DPYD	colon	colonic neoplasms	marker/mechanism
KDM1A	colon	colonic neoplasms	marker/mechanism
S100A9	colon	colonic neoplasms	marker/mechanism
GUCY1A1	colon	colonic neoplasms	marker/mechanism
IFNG	colon	colonic neoplasms	therapeutic
CCND2	colon	colonic neoplasms	marker/mechanism
ICAM1	colon	colonic neoplasms	marker/mechanism
PRKN	colon	colonic neoplasms	marker/mechanism
ITIH4	colon	colonic neoplasms	marker/mechanism
DNMT1	colon	colonic neoplasms	marker/mechanism
A2M	colon	colonic neoplasms	marker/mechanism
PROM1	colon	colonic neoplasms	marker/mechanism
BAX	colon	colonic neoplasms	marker/mechanism
TRMT11	colon	colonic neoplasms	marker/mechanism
BIRC5	colon	colonic neoplasms	marker/mechanism|therapeutic
SLCO1B3	colon	colonic neoplasms	marker/mechanism
PTGS2	colon	colonic neoplasms	marker/mechanism
CACNA2D1	colon	colonic neoplasms	marker/mechanism
OXT	colon	colonic neoplasms	therapeutic
TPM3	colon	colonic neoplasms	marker/mechanism
DEFA5	colon	colonic neoplasms	marker/mechanism
YBX1	colon	colonic neoplasms	marker/mechanism
MLH1	colon	colonic neoplasms	marker/mechanism
SERPINB5	colon	colonic neoplasms	marker/mechanism
MECOM	colon	colonic neoplasms	marker/mechanism
TCF7L2	colon	colonic neoplasms	marker/mechanism
ODC1	colon	colonic neoplasms	marker/mechanism
MMP12	colon	colonic neoplasms	marker/mechanism
CCND1	colon	colonic neoplasms	marker/mechanism
RFC1	colon	colonic neoplasms	marker/mechanism
ITGA7	colon	colonic neoplasms	marker/mechanism
RATNP-3B	colon	colonic neoplasms	marker/mechanism
JUN	colon	colonic neoplasms	marker/mechanism
S100A4	colon	colonic neoplasms	marker/mechanism
SLC19A1	colon	colonic neoplasms	marker/mechanism
IL1RN	colon	colonic neoplasms	marker/mechanism
KRAS	colon	colonic neoplasms	marker/mechanism
NDRG2	colon	colonic neoplasms	marker/mechanism
LPL	colon	colonic neoplasms	marker/mechanism
IL32	colon	colonic neoplasms	marker/mechanism
ASCL2	colon	colonic neoplasms	marker/mechanism
TP53	colon	colonic neoplasms	marker/mechanism
MAP2K6	colon	colonic neoplasms	therapeutic
CAR4	colon	colonic neoplasms	marker/mechanism
ID3	colon	colonic neoplasms	marker/mechanism
ATP7A	colon	colonic neoplasms	marker/mechanism
TNF	colon	colonic neoplasms	marker/mechanism|therapeutic
ERBB2	colon	colonic neoplasms	marker/mechanism
IGFBP1	colon	colonic neoplasms	marker/mechanism
LEP	colon	colonic neoplasms	marker/mechanism
CCAT1	colon	colonic neoplasms	marker/mechanism
GSTM5	colon	colonic neoplasms	marker/mechanism
WT1	colon	colonic neoplasms	marker/mechanism
NOX1	colon	colonic neoplasms	marker/mechanism
CBR1	colon	colonic neoplasms	marker/mechanism
GCG	colon	colonic neoplasms	marker/mechanism
GRIK2	colon	colonic neoplasms	marker/mechanism
TCF19	colon	colonic neoplasms	marker/mechanism
MIR98	colon	colonic neoplasms	marker/mechanism
PLCB1	colon	colonic neoplasms	marker/mechanism
HSPA2	colon	colonic neoplasms	marker/mechanism
CTNNB1	colon	colonic neoplasms	marker/mechanism
POLB	colon	colonic neoplasms	marker/mechanism
MUTYH	colon	colonic neoplasms	marker/mechanism
MTHFR	colon	colonic neoplasms	marker/mechanism
EOMES	colon	colonic neoplasms	marker/mechanism
TNFRSF9	colon	colonic neoplasms	marker/mechanism
MKI67	colon	colonic neoplasms	marker/mechanism
GAST	colon	colonic neoplasms	marker/mechanism
SLC16A1	colon	colonic neoplasms	marker/mechanism
GAP43	colon	colonic neoplasms	marker/mechanism
PARP4	colon	colonic neoplasms	marker/mechanism
IGF2	colon	colonic neoplasms	marker/mechanism
ALOX12B	colon	colonic neoplasms	marker/mechanism
RHOJ	colon	colonic neoplasms	marker/mechanism
FBP1	colon	colonic neoplasms	marker/mechanism
PRR5-ARHGAP8	colon	colonic neoplasms	marker/mechanism
APC	colon	colonic neoplasms	marker/mechanism
F5	colon	colonic neoplasms	marker/mechanism
PPARG	colon	colonic neoplasms	therapeutic
ACTG2	colon	colonic neoplasms	marker/mechanism
TYMP	colon	colonic neoplasms	marker/mechanism
MMP9	colon	colonic neoplasms	marker/mechanism
MCM2	colon	colonic neoplasms	therapeutic
EGFR	colon	colonic neoplasms	marker/mechanism
HES1	colon	colonic neoplasms	marker/mechanism
SULT1A1	colon	colonic neoplasms	marker/mechanism
LGR5	colon	colonic neoplasms	marker/mechanism
VEGFA	colon	colonic neoplasms	marker/mechanism
SLC22A1	colon	colonic neoplasms	marker/mechanism
TAGLN	colon	colonic neoplasms	marker/mechanism
ALOX5	colon	colonic neoplasms	marker/mechanism
CRYAB	colon	colonic neoplasms	marker/mechanism
MEP1A	colon	colonic neoplasms	marker/mechanism
CDKN1A	colon	colonic neoplasms	marker/mechanism
MMP7	colon	colonic neoplasms	marker/mechanism
AXIN2	colon	colonic neoplasms	marker/mechanism
MYC	colon	colonic neoplasms	marker/mechanism
ACTA2	colon	colonic neoplasms	marker/mechanism
TNFRSF10A	colon	colonic neoplasms	marker/mechanism
SPARC	colon	colonic neoplasms	marker/mechanism
STAT3	colon	colonic neoplasms	marker/mechanism
SOD2	colon	colonic neoplasms	marker/mechanism
PCNA	colon	colonic neoplasms	marker/mechanism
CCL20	colon	colonic neoplasms	marker/mechanism
NFKB1	colon	colonic neoplasms	marker/mechanism
BCL2	colon	colonic neoplasms	marker/mechanism
MACIR	colon	colonic neoplasms	marker/mechanism
SERTAD1	colon	colonic neoplasms	marker/mechanism
SH3KBP1	colon	colonic neoplasms	marker/mechanism
SLC2A1	colon	colonic neoplasms	marker/mechanism
TRPM7	colon	colonic polyps	marker/mechanism
ALOX5	colon	colonic polyps	marker/mechanism
ILK	colon	colonic polyps	marker/mechanism
PRKD1	heart	congenital heart defects and ectodermal dysplasia	marker/mechanism
CDK13	heart	congenital heart defects, dysmorphic facial features, and intellectual developmental disorder	marker/mechanism
TAB2	heart	congenital heart defects, multiple types, 2	marker/mechanism
NR2F2	heart	congenital heart defects, multiple types, 4	marker/mechanism
GDF1	heart	congenital heart defects, multiple types, 6	marker/mechanism
NKX2-5	heart	conotruncal heart malformations	marker/mechanism
TBX1	heart	conotruncal heart malformations	marker/mechanism
NKX2-6	heart	conotruncal heart malformations	marker/mechanism
GATA6	heart	conotruncal heart malformations	marker/mechanism
ITPKC	heart	coronary aneurysm	marker/mechanism
MICA	heart	coronary aneurysm	marker/mechanism
GJA1	heart	coronary aneurysm	marker/mechanism
DDAH2	heart	coronary artery disease	marker/mechanism
ESR2	heart	coronary artery disease	marker/mechanism
PTGS2	heart	coronary artery disease	marker/mechanism
IRAK1	heart	coronary artery disease	marker/mechanism
JCAD	heart	coronary artery disease	marker/mechanism
PON1	heart	coronary artery disease	marker/mechanism|therapeutic
GNB3	heart	coronary artery disease	marker/mechanism
ZC3HC1	heart	coronary artery disease	marker/mechanism
ADAMTS7	heart	coronary artery disease	marker/mechanism
TRAF6	heart	coronary artery disease	marker/mechanism
GUCY1A1	heart	coronary artery disease	marker/mechanism
CRP	heart	coronary artery disease	marker/mechanism
IRS1	heart	coronary artery disease	marker/mechanism
HHIPL1	heart	coronary artery disease	marker/mechanism
ABCG8	heart	coronary artery disease	marker/mechanism
PLPP3	heart	coronary artery disease	marker/mechanism
ANGPTL4	heart	coronary artery disease	marker/mechanism
MRPS6	heart	coronary artery disease	marker/mechanism
HMOX1	heart	coronary artery disease	marker/mechanism
GDF15	heart	coronary artery disease	marker/mechanism
PCSK9	heart	coronary artery disease	marker/mechanism
LDLR	heart	coronary artery disease	marker/mechanism
ACE	heart	coronary artery disease	marker/mechanism
TLR4	heart	coronary artery disease	marker/mechanism
LIPA	heart	coronary artery disease	marker/mechanism
SORT1	heart	coronary artery disease	marker/mechanism
WDR12	heart	coronary artery disease	marker/mechanism
LTA	heart	coronary artery disease	marker/mechanism
CDKN2B	heart	coronary artery disease	marker/mechanism
VEGFA	heart	coronary artery disease	marker/mechanism|therapeutic
ANKS1A	heart	coronary artery disease	marker/mechanism
CXCL12	heart	coronary artery disease	marker/mechanism
CD40LG	heart	coronary artery disease	marker/mechanism
PROCR	heart	coronary artery disease	marker/mechanism
TCF21	heart	coronary artery disease	marker/mechanism
PHACTR1	heart	coronary artery disease	marker/mechanism
APOC3	heart	coronary artery disease	marker/mechanism
APOA5	heart	coronary artery disease	marker/mechanism
APCS	heart	coronary artery disease	marker/mechanism
TRIB1	heart	coronary artery disease	marker/mechanism
ABO	heart	coronary artery disease	marker/mechanism
MIA3	heart	coronary artery disease	marker/mechanism
MRAS	heart	coronary artery disease	marker/mechanism
PECAM1	heart	coronary artery disease	marker/mechanism
APOA1	heart	coronary artery disease	marker/mechanism
MMP3	heart	coronary artery disease	marker/mechanism
NPPB	heart	coronary artery disease	marker/mechanism
MIR146B	heart	coronary artery disease	marker/mechanism
CCL2	heart	coronary artery disease	marker/mechanism
ADTRP	heart	coronary artery disease	marker/mechanism
MIR146A	heart	coronary artery disease	marker/mechanism
ESR1	heart	coronary artery disease	marker/mechanism
NOS3	heart	coronary artery disease	marker/mechanism
KL	heart	coronary artery disease	marker/mechanism
ABCG5	heart	coronary artery disease	marker/mechanism
EPO	heart	coronary artery disease	therapeutic
HECTD4	heart	coronary artery disease	marker/mechanism
LPA	heart	coronary artery disease	marker/mechanism
NAT2	heart	coronary artery disease	marker/mechanism
SH2B3	heart	coronary artery disease	marker/mechanism
PAPPA	heart	coronary artery disease	marker/mechanism
ATP2B1	heart	coronary artery disease	marker/mechanism
TERT	heart	coronary artery disease	marker/mechanism
PDGFD	heart	coronary artery disease	marker/mechanism
LMOD1	heart	coronary artery disease	marker/mechanism
LRP6	heart	coronary artery disease, autosomal dominant 2	marker/mechanism
MEF2A	heart	coronary artery disease, autosomal dominant, 1	marker/mechanism
HNF1A	heart	coronary disease	marker/mechanism
IRS1	heart	coronary disease	marker/mechanism
TCF7L2	heart	coronary disease	marker/mechanism
MRAS	heart	coronary disease	marker/mechanism
DNAH11	heart	coronary disease	marker/mechanism
CCDC92	heart	coronary disease	marker/mechanism
ZC3HC1	heart	coronary disease	marker/mechanism
APOE	heart	coronary disease	marker/mechanism
MIR17HG	heart	coronary disease	marker/mechanism
LDLR	heart	coronary disease	marker/mechanism
PLA2G7	heart	coronary disease	marker/mechanism
PLAU	heart	coronary disease	therapeutic
MMP3	heart	coronary disease	marker/mechanism
ACE	heart	coronary disease	marker/mechanism
ESR2	heart	coronary disease	marker/mechanism
CD36	heart	coronary disease	marker/mechanism
CX3CR1	heart	coronary disease	marker/mechanism
MACO1	heart	coronary disease	marker/mechanism
LPA	heart	coronary disease	marker/mechanism
MTHFR	heart	coronary disease	marker/mechanism
PON1	heart	coronary disease	marker/mechanism
ABCG5	heart	coronary disease	marker/mechanism
APOB	heart	coronary disease	marker/mechanism
VKORC1	heart	coronary disease	marker/mechanism
MMP3	heart	coronary restenosis	marker/mechanism
ACE	heart	coronary restenosis	marker/mechanism
ADIPOQ	heart	coronary restenosis	therapeutic
TNF	heart	coronary restenosis	marker/mechanism
MTHFR	heart	coronary restenosis	marker/mechanism
HRH2	heart	coronary stenosis	marker/mechanism
PRKCE	heart	coronary stenosis	marker/mechanism
MYH7	heart	coronary stenosis	marker/mechanism
NPPA	heart	coronary stenosis	marker/mechanism
PLAT	heart	coronary thrombosis	therapeutic
ITGB3	heart	coronary thrombosis	marker/mechanism
ARHGAP9	heart	coronary vasospasm	marker/mechanism
NOS3	heart	coronary vasospasm	marker/mechanism
PON1	heart	coronary vasospasm	marker/mechanism
GCLC	heart	coronary vessel anomalies	marker/mechanism
LTBP4	lung	cutis laxa with severe pulmonary, gastrointestinal, and urinary abnormalities	marker/mechanism
CRB2	kidney	cystic kidney disease with ventriculomegaly	marker/mechanism
CTNS	kidney	cystinosis, late-onset juvenile or adolescent nephropathic type	marker/mechanism
MYO6	heart	deafness, autosomal dominant 22;dfna22 deafness, autosomal dominant 22, with hypertrophic cardiomyopathy,	marker/mechanism
MYBPC3	heart	death, sudden, cardiac	marker/mechanism
RYR2	heart	death, sudden, cardiac	marker/mechanism
DSP	heart	death, sudden, cardiac	marker/mechanism
TMEM43	heart	death, sudden, cardiac	marker/mechanism
LMNA	heart	death, sudden, cardiac	marker/mechanism
TNNT2	heart	death, sudden, cardiac	marker/mechanism
HLA-DQA1	skin	dermatitis	marker/mechanism
EGF	skin	dermatitis	marker/mechanism
PARP1	skin	dermatitis	marker/mechanism
IL4	skin	dermatitis	marker/mechanism
ZFP36	skin	dermatitis	marker/mechanism
HLA-B	skin	dermatitis	marker/mechanism
ITGB2	skin	dermatitis	marker/mechanism
IL13	skin	dermatitis	marker/mechanism
SHARPIN	skin	dermatitis	marker/mechanism
EGFR	skin	dermatitis	marker/mechanism
NOD2	skin	dermatitis	marker/mechanism
CXCL12	skin	dermatitis	marker/mechanism
PLA2G4A	skin	dermatitis	marker/mechanism
VCAM1	skin	dermatitis	marker/mechanism
DSG1	skin	dermatitis	marker/mechanism
FLG	skin	dermatitis	marker/mechanism
STAC	skin	dermatitis, allergic contact	marker/mechanism
PLAT	skin	dermatitis, allergic contact	marker/mechanism
ETS2	skin	dermatitis, allergic contact	marker/mechanism
MRC1	skin	dermatitis, allergic contact	marker/mechanism
IL4	skin	dermatitis, allergic contact	marker/mechanism
FCGR3B	skin	dermatitis, allergic contact	marker/mechanism
CCR2	skin	dermatitis, allergic contact	marker/mechanism
CISH	skin	dermatitis, allergic contact	marker/mechanism
NINJ1	skin	dermatitis, allergic contact	marker/mechanism
SLC7A5	skin	dermatitis, allergic contact	marker/mechanism
NAMPT	skin	dermatitis, allergic contact	marker/mechanism
TNF	skin	dermatitis, allergic contact	marker/mechanism
IL10	skin	dermatitis, allergic contact	marker/mechanism
CD3D	skin	dermatitis, allergic contact	marker/mechanism
IFI30	skin	dermatitis, allergic contact	marker/mechanism
ASRGL1	skin	dermatitis, allergic contact	marker/mechanism
CNTN3	skin	dermatitis, allergic contact	marker/mechanism
PHLDA1	skin	dermatitis, allergic contact	marker/mechanism
SLC2A3	skin	dermatitis, allergic contact	marker/mechanism
CREM	skin	dermatitis, allergic contact	marker/mechanism
UPP1	skin	dermatitis, allergic contact	marker/mechanism
TMSB10	skin	dermatitis, allergic contact	marker/mechanism
FGL2	skin	dermatitis, allergic contact	marker/mechanism
IFNG	skin	dermatitis, allergic contact	marker/mechanism
ST6GAL1	skin	dermatitis, allergic contact	marker/mechanism
SPP1	skin	dermatitis, allergic contact	marker/mechanism
IGSF6	skin	dermatitis, allergic contact	marker/mechanism
CCL19	skin	dermatitis, allergic contact	marker/mechanism
ABCA6	skin	dermatitis, allergic contact	marker/mechanism
IPCEF1	skin	dermatitis, allergic contact	marker/mechanism
BCL2	skin	dermatitis, allergic contact	marker/mechanism
KMO	skin	dermatitis, allergic contact	marker/mechanism
EMB	skin	dermatitis, allergic contact	marker/mechanism
SAT1	skin	dermatitis, allergic contact	marker/mechanism
CASP8	skin	dermatitis, allergic contact	marker/mechanism
F13A1	skin	dermatitis, allergic contact	marker/mechanism
ITGAM	skin	dermatitis, allergic contact	marker/mechanism
TNFAIP6	skin	dermatitis, allergic contact	marker/mechanism
TLR7	skin	dermatitis, allergic contact	marker/mechanism
BMP6	skin	dermatitis, allergic contact	marker/mechanism
FYB1	skin	dermatitis, allergic contact	marker/mechanism
CD36	skin	dermatitis, allergic contact	marker/mechanism
PRDX4	skin	dermatitis, allergic contact	marker/mechanism
CIDEC	skin	dermatitis, allergic contact	marker/mechanism
MXD1	skin	dermatitis, allergic contact	marker/mechanism
CTSC	skin	dermatitis, allergic contact	marker/mechanism
IL5	skin	dermatitis, allergic contact	marker/mechanism
GRK2	skin	dermatitis, allergic contact	marker/mechanism
SOCS1	skin	dermatitis, allergic contact	marker/mechanism
QPCT	skin	dermatitis, allergic contact	marker/mechanism
NUMA1	skin	dermatitis, allergic contact	marker/mechanism
SELE	skin	dermatitis, allergic contact	marker/mechanism
RGS1	skin	dermatitis, allergic contact	marker/mechanism
IL18	skin	dermatitis, allergic contact	marker/mechanism
CYP1A1	skin	dermatitis, allergic contact	marker/mechanism
SOCS2	skin	dermatitis, allergic contact	marker/mechanism
MEOX1	skin	dermatitis, allergic contact	marker/mechanism
CXCL2	skin	dermatitis, allergic contact	marker/mechanism
NFE2L2	skin	dermatitis, allergic contact	marker/mechanism
IL2	skin	dermatitis, allergic contact	marker/mechanism
HSD11B1	skin	dermatitis, allergic contact	marker/mechanism
IL2RA	skin	dermatitis, allergic contact	marker/mechanism
IL32	skin	dermatitis, allergic contact	marker/mechanism
CALCRL	skin	dermatitis, allergic contact	marker/mechanism
RAB32	skin	dermatitis, allergic contact	marker/mechanism
IL1A	skin	dermatitis, allergic contact	marker/mechanism
PIM1	skin	dermatitis, allergic contact	marker/mechanism
SLC11A1	skin	dermatitis, atopic	marker/mechanism
IFNG	skin	dermatitis, atopic	marker/mechanism
CCL22	skin	dermatitis, atopic	marker/mechanism
IL6	skin	dermatitis, atopic	marker/mechanism
MAPK8	skin	dermatitis, atopic	marker/mechanism
PPARA	skin	dermatitis, atopic	marker/mechanism
CCDC80	skin	dermatitis, atopic	marker/mechanism
IL31	skin	dermatitis, atopic	marker/mechanism
CARD11	skin	dermatitis, atopic	marker/mechanism
CCR5	skin	dermatitis, atopic	marker/mechanism
S100A8	skin	dermatitis, atopic	marker/mechanism
IL10	skin	dermatitis, atopic	marker/mechanism
EMSY	skin	dermatitis, atopic	marker/mechanism
CCL24	skin	dermatitis, atopic	marker/mechanism
STAT6	skin	dermatitis, atopic	therapeutic
IL13	skin	dermatitis, atopic	marker/mechanism
AHR	skin	dermatitis, atopic	marker/mechanism
ZNF365	skin	dermatitis, atopic	marker/mechanism
CXCL10	skin	dermatitis, atopic	marker/mechanism
OVOL1	skin	dermatitis, atopic	marker/mechanism
CCL5	skin	dermatitis, atopic	marker/mechanism
CCL17	skin	dermatitis, atopic	marker/mechanism
FLG	skin	dermatitis, atopic	marker/mechanism
ARTN	skin	dermatitis, atopic	marker/mechanism
CXCR3	skin	dermatitis, atopic	marker/mechanism
CYP1A1	skin	dermatitis, atopic	marker/mechanism
ACTL9	skin	dermatitis, atopic	marker/mechanism
IL5	skin	dermatitis, atopic	marker/mechanism
TSLP	skin	dermatitis, atopic	marker/mechanism
IFNL3	skin	dermatitis, atopic	marker/mechanism
IL1B	skin	dermatitis, atopic	marker/mechanism
GLB1	skin	dermatitis, atopic	marker/mechanism
VNN2	skin	dermatitis, atopic	marker/mechanism
VNN1	skin	dermatitis, atopic	marker/mechanism
CCL11	skin	dermatitis, atopic	marker/mechanism
IL33	skin	dermatitis, atopic	marker/mechanism
IL4	skin	dermatitis, atopic	marker/mechanism
SELE	skin	dermatitis, atopic	marker/mechanism
CCR3	skin	dermatitis, atopic	marker/mechanism
FLG	skin	dermatitis, atopic, 2	marker/mechanism
DUSP1	skin	dermatitis, contact	marker/mechanism
TXNRD1	skin	dermatitis, contact	marker/mechanism
IL18	skin	dermatitis, contact	marker/mechanism
CRHR1	skin	dermatitis, contact	marker/mechanism
GCLC	skin	dermatitis, contact	marker/mechanism
MLANA	skin	dermatitis, contact	marker/mechanism
TPSAB1	skin	dermatitis, contact	marker/mechanism
HMOX1	skin	dermatitis, contact	marker/mechanism
KRT2	skin	dermatitis, contact	marker/mechanism
CCR1	skin	dermatitis, contact	marker/mechanism
KRT4	skin	dermatitis, contact	marker/mechanism
IGFBP6	skin	dermatitis, contact	marker/mechanism
FABP4	skin	dermatitis, contact	marker/mechanism
CCN2	skin	dermatitis, contact	marker/mechanism
SERPINB4	skin	dermatitis, contact	marker/mechanism
TLR4	skin	dermatitis, contact	marker/mechanism
CTSS	skin	dermatitis, contact	marker/mechanism
GLB1	skin	dermatitis, contact	marker/mechanism
CXCR3	skin	dermatitis, contact	marker/mechanism
S100A8	skin	dermatitis, contact	marker/mechanism
VEGFA	skin	dermatitis, contact	marker/mechanism
HLA-DMA	skin	dermatitis, contact	marker/mechanism
NRG1	skin	dermatitis, contact	marker/mechanism
AKR1B10	skin	dermatitis, contact	marker/mechanism
CASP8	skin	dermatitis, contact	marker/mechanism
CD86	skin	dermatitis, contact	marker/mechanism
KIF2C	skin	dermatitis, contact	marker/mechanism
SAA1	skin	dermatitis, contact	marker/mechanism
CD44	skin	dermatitis, contact	marker/mechanism
LCN2	skin	dermatitis, contact	marker/mechanism
CXCL14	skin	dermatitis, contact	marker/mechanism
HSPB1	skin	dermatitis, contact	marker/mechanism
BCL2	skin	dermatitis, contact	marker/mechanism
HSP90AA1	skin	dermatitis, contact	marker/mechanism
IGFBP2	skin	dermatitis, contact	marker/mechanism
GSS	skin	dermatitis, contact	marker/mechanism
CYP1B1	skin	dermatitis, contact	marker/mechanism
CYP1A1	skin	dermatitis, contact	marker/mechanism
SERPINB3	skin	dermatitis, contact	marker/mechanism
PSMD12	skin	dermatitis, contact	marker/mechanism
UGT1A1	skin	dermatitis, contact	marker/mechanism
UGT1A6	skin	dermatitis, contact	marker/mechanism
HDAC4	skin	dermatitis, contact	marker/mechanism
SLC7A11	skin	dermatitis, contact	marker/mechanism
KRT10	skin	dermatitis, contact	marker/mechanism
AKR1C2	skin	dermatitis, contact	marker/mechanism
SOD1	skin	dermatitis, contact	marker/mechanism
FLG	skin	dermatitis, contact	marker/mechanism
DEFB1	skin	dermatitis, contact	marker/mechanism
PIR	skin	dermatitis, contact	marker/mechanism
PRDX6	skin	dermatitis, contact	marker/mechanism
OSM	skin	dermatitis, contact	marker/mechanism
MMP8	skin	dermatitis, contact	marker/mechanism
GSR	skin	dermatitis, contact	marker/mechanism
NQO2	skin	dermatitis, contact	marker/mechanism
G6PD	skin	dermatitis, contact	marker/mechanism
FTH1	skin	dermatitis, contact	marker/mechanism
CCL27	skin	dermatitis, contact	marker/mechanism
TLR8	skin	dermatitis, contact	marker/mechanism
DDIT3	skin	dermatitis, contact	marker/mechanism
PI3	skin	dermatitis, contact	marker/mechanism
TNFSF9	skin	dermatitis, contact	marker/mechanism
MMP10	skin	dermatitis, contact	marker/mechanism
GSTP1	skin	dermatitis, contact	marker/mechanism
CLDN1	skin	dermatitis, contact	marker/mechanism
STOML2	skin	dermatitis, contact	marker/mechanism
ING1	skin	dermatitis, contact	marker/mechanism
TXN	skin	dermatitis, contact	marker/mechanism
AHR	skin	dermatitis, contact	marker/mechanism
SOD3	skin	dermatitis, contact	therapeutic
NQO1	skin	dermatitis, contact	marker/mechanism
TRIM40	skin	dermatitis, irritant	marker/mechanism
TRIM31	skin	dermatitis, irritant	marker/mechanism
HLA-DPB1	skin	dermatitis, irritant	marker/mechanism
HLA-DPA1	skin	dermatitis, irritant	marker/mechanism
OR2B3	skin	dermatitis, irritant	marker/mechanism
IER3	skin	dermatitis, irritant	marker/mechanism
C2	skin	dermatitis, irritant	marker/mechanism
CBR1	skin	dermatitis, irritant	therapeutic
TRIM10	skin	dermatitis, irritant	marker/mechanism
NAT2	skin	dermatitis, occupational	marker/mechanism
NAT1	skin	dermatitis, occupational	marker/mechanism
IL10	skin	dermatitis, occupational	marker/mechanism
FOXP3	skin	dermatitis, occupational	marker/mechanism
ALDH2	skin	dermatitis, occupational	marker/mechanism
KNG1	skin	dermatitis, occupational	marker/mechanism
HLA-DMA	skin	dermatitis, occupational	marker/mechanism
BDKRB2	skin	dermatitis, occupational	marker/mechanism
ZIC3	heart	dextrocardia	marker/mechanism
AVPR2	kidney	diabetes insipidus, nephrogenic	marker/mechanism
AQP2	kidney	diabetes insipidus, nephrogenic	marker/mechanism|therapeutic
PRKCA	kidney	diabetes insipidus, nephrogenic	marker/mechanism
AGT	heart	diabetic cardiomyopathies	marker/mechanism
INS	heart	diabetic cardiomyopathies	therapeutic
KLK1	heart	diabetic cardiomyopathies	therapeutic
TNF	heart	diabetic cardiomyopathies	marker/mechanism
SLC25A4	heart	diabetic cardiomyopathies	therapeutic
